window_start,window_end,anomaly_score,anchor_period
2021-04-26 03:06:37,2021-04-26 03:36:37,0.9607,baseline
2021-04-26 07:36:37,2021-04-26 08:06:37,0.6879,baseline
2021-04-27 02:06:37,2021-04-27 02:36:37,0.9916,baseline
2021-04-27 02:21:37,2021-04-27 02:51:37,0.9016,baseline
2021-04-27 18:21:37,2021-04-27 18:51:37,0.0431,baseline
2021-04-28 03:21:37,2021-04-28 03:51:37,0.9859,baseline
2021-04-28 03:36:37,2021-04-28 04:06:37,0.9727,baseline
2021-04-28 18:21:37,2021-04-28 18:51:37,0.0283,baseline
2021-04-30 02:51:37,2021-04-30 03:21:37,0.9943,baseline
2021-04-30 07:21:37,2021-04-30 07:51:37,0.9885,baseline
2021-05-01 18:51:37,2021-05-01 19:21:37,0.1259,baseline
2021-05-03 03:06:37,2021-05-03 03:36:37,0.9929,baseline
2021-05-03 03:21:37,2021-05-03 03:51:37,0.9438,baseline
2021-05-03 13:36:37,2021-05-03 14:06:37,0.211,baseline
2021-05-04 02:36:37,2021-05-04 03:06:37,0.8948,baseline
2021-05-04 02:51:37,2021-05-04 03:21:37,0.8213,baseline
2021-05-04 14:51:37,2021-05-04 15:21:37,0.0695,baseline
2021-05-05 03:06:37,2021-05-05 03:36:37,0.9886,baseline
2021-05-05 03:21:37,2021-05-05 03:51:37,0.967,baseline
2021-05-06 18:06:37,2021-05-06 18:36:37,0.1108,baseline
2021-05-06 18:21:37,2021-05-06 18:51:37,0.1018,baseline
2021-05-07 04:36:37,2021-05-07 05:06:37,0.2182,baseline
2021-05-07 04:51:37,2021-05-07 05:21:37,0.4437,baseline
2021-05-10 10:36:37,2021-05-10 11:06:37,0.3497,baseline
2021-05-11 05:06:37,2021-05-11 05:36:37,0.8992,baseline
2021-05-12 11:21:37,2021-05-12 11:51:37,0.5717,baseline
2021-05-14 07:06:37,2021-05-14 07:36:37,0.9082,baseline
2021-05-14 07:21:37,2021-05-14 07:51:37,0.5969,baseline
2021-05-16 07:36:37,2021-05-16 08:06:37,0.0586,baseline
2021-05-19 06:21:37,2021-05-19 06:51:37,0.0617,baseline
2021-05-20 03:21:37,2021-05-20 03:51:37,0.0601,baseline
2021-05-20 15:51:37,2021-05-20 16:21:37,0.0897,baseline
2021-05-21 23:36:37,2021-05-22 00:06:37,0.2733,baseline
2021-05-25 08:51:37,2021-05-25 09:21:37,0.1653,baseline
2021-05-28 06:51:37,2021-05-28 07:21:37,0.3804,baseline
2021-05-28 08:06:37,2021-05-28 08:36:37,0.0825,baseline
2021-06-03 04:36:37,2021-06-03 05:06:37,0.0791,baseline
2021-06-03 04:51:37,2021-06-03 05:21:37,0.0853,baseline
2021-06-05 21:21:37,2021-06-05 21:51:37,0.0389,baseline
2021-06-05 21:36:37,2021-06-05 22:06:37,0.0402,baseline
2021-06-09 17:36:37,2021-06-09 18:06:37,0.0566,baseline
2021-06-09 17:51:37,2021-06-09 18:21:37,0.0597,baseline
2021-06-17 06:06:37,2021-06-17 06:36:37,0.0599,baseline
2021-06-20 02:06:37,2021-06-20 02:36:37,0.1069,baseline
2021-06-21 08:36:37,2021-06-21 09:06:37,0.4053,baseline
2021-06-22 14:06:37,2021-06-22 14:36:37,0.2046,baseline
2021-06-22 14:21:37,2021-06-22 14:51:37,0.2441,baseline
2021-06-29 22:06:37,2021-06-29 22:36:37,0.2527,baseline
2021-06-30 13:36:37,2021-06-30 14:06:37,0.0978,baseline
2021-06-30 13:51:37,2021-06-30 14:21:37,0.0999,baseline
2021-06-30 14:21:37,2021-06-30 14:51:37,0.4438,baseline
2021-07-04 03:06:37,2021-07-04 03:36:37,0.573,baseline
2021-07-06 01:06:37,2021-07-06 01:36:37,0.7618,baseline
2021-07-06 01:21:37,2021-07-06 01:51:37,0.9247,baseline
2021-07-06 06:51:37,2021-07-06 07:21:37,0.3114,baseline
2021-07-06 07:06:37,2021-07-06 07:36:37,0.1518,baseline
2021-07-06 18:51:37,2021-07-06 19:21:37,0.0701,baseline
2021-07-10 15:06:37,2021-07-10 15:36:37,0.0543,baseline
2021-07-15 10:36:37,2021-07-15 11:06:37,0.0311,baseline
2021-07-16 03:06:37,2021-07-16 03:36:37,0.0782,baseline
2021-07-18 05:36:37,2021-07-18 06:06:37,0.978,baseline
2021-07-18 05:51:37,2021-07-18 06:21:37,0.5871,baseline
2021-07-20 06:51:37,2021-07-20 07:21:37,0.1784,baseline
2021-07-20 18:21:37,2021-07-20 18:51:37,0.0651,baseline
2021-07-20 18:36:37,2021-07-20 19:06:37,0.0617,baseline
2021-07-28 14:21:37,2021-07-28 14:51:37,0.0783,baseline
2021-07-29 08:06:37,2021-07-29 08:36:37,0.0889,baseline
2021-07-31 01:36:37,2021-07-31 02:06:37,0.1197,baseline
2021-08-04 21:21:37,2021-08-04 21:51:37,0.0993,baseline
2021-08-06 15:21:37,2021-08-06 15:51:37,0.0748,baseline
2021-08-08 05:36:37,2021-08-08 06:06:37,0.0451,baseline
2021-08-09 03:21:37,2021-08-09 03:51:37,0.1396,baseline
2021-08-09 03:36:37,2021-08-09 04:06:37,0.1368,baseline
2021-08-12 03:06:37,2021-08-12 03:36:37,0.1695,baseline
2021-08-17 14:36:37,2021-08-17 15:06:37,0.0781,baseline
2021-08-20 11:21:37,2021-08-20 11:51:37,0.0644,baseline
